InteractorA,InteractorB
ENSMUSG00000002413,ENSMUSG00000018965
ENSMUSG00000002413,ENSMUSG00000025499
ENSMUSG00000004936,ENSMUSG00000002413
ENSMUSG00000002413,ENSMUSG00000035027
ENSMUSG00000001333,ENSG00000134769
ENSMUSG00000054555,ENSMUSG00000059923
ENSMUSG00000055371,ENSMUSG00000027363
ENSMUSG00000055371,ENSG00000124356
ENSMUSG00000026718,ENSG00000124356
ENSMUSG00000027363,ENSMUSG00000059923
ENSMUSG00000030619,ENSMUSG00000029687
ENSG00000198909,ENSMUSG00000020849
ENSMUSG00000022957,ENSMUSG00000028552
ENSMUSG00000006276,ENSMUSG00000022957
ENSMUSG00000022957,ENSMUSG00000033335
ENSMUSG00000022957,ENSMUSG00000026825
ENSMUSG00000031489,ENSG00000197122
ENSMUSG00000020176,ENSMUSG00000032216
ENSG00000121989,ENSMUSG00000040003
ENSMUSG00000026021,ENSG00000078900
ENSG00000185591,ENSMUSG00000023994
ENSMUSG00000032368,ENSG00000111087
ENSMUSG00000032368,ENSG00000106571
ENSMUSG00000067860,ENSG00000106571
ENSMUSG00000019893,ENSMUSG00000004266
ENSMUSG00000019893,ENSG00000111679
ENSMUSG00000028708,ENSMUSG00000053137
ENSMUSG00000028708,ENSMUSG00000063065
ENSMUSG00000063065,ENSMUSG00000020190
ENSMUSG00000053137,ENSMUSG00000020190
ENSG00000140044,ENSMUSG00000027104
ENSMUSG00000023050,ENSMUSG00000023050
ENSMUSG00000023050,ENSMUSG00000027223
ENSMUSG00000008200,ENSG00000159082
ENSG00000126934,ENSMUSG00000018334
ENSG00000096384,ENSMUSG00000018334
ENSG00000169032,ENSMUSG00000018334
ENSG00000204389,ENSMUSG00000018334
ENSG00000204388,ENSMUSG00000018334
ENSMUSG00000018334,ENSG00000166913
ENSG00000105401,ENSMUSG00000018334
ENSMUSG00000018334,ENSG00000102882
ENSG00000185532,ENSMUSG00000021552
ENSMUSG00000056851,ENSMUSG00000068699
ENSMUSG00000026395,ENSMUSG00000024789
ENSG00000184047,ENSMUSG00000025860
ENSMUSG00000064289,ENSG00000183735
ENSMUSG00000064289,ENSMUSG00000020115
ENSMUSG00000021936,ENSMUSG00000052684
ENSMUSG00000052684,ENSMUSG00000021250
ENSMUSG00000052684,ENSMUSG00000052684
ENSMUSG00000039952,ENSMUSG00000039952
ENSMUSG00000026193,ENSMUSG00000036634
ENSMUSG00000034116,ENSMUSG00000021546
ENSMUSG00000002477,ENSG00000172062
ENSMUSG00000002477,ENSG00000205571
ENSMUSG00000040824,ENSG00000172062
ENSMUSG00000040824,ENSG00000205571
ENSMUSG00000020018,ENSG00000172062
ENSMUSG00000020018,ENSG00000205571
ENSMUSG00000020180,ENSG00000172062
ENSMUSG00000020180,ENSG00000205571
ENSMUSG00000032191,ENSG00000120868
ENSMUSG00000053693,ENSMUSG00000041308
ENSMUSG00000003810,ENSMUSG00000041308
ENSMUSG00000002477,ENSG00000179409
ENSMUSG00000020180,ENSG00000179409
ENSG00000179409,ENSMUSG00000040824
ENSMUSG00000059796,ENSG00000172239
ENSG00000128245,ENSMUSG00000048490
ENSMUSG00000026718,ENSMUSG00000031805
ENSMUSG00000026718,ENSMUSG00000024789
ENSMUSG00000023830,ENSMUSG00000031731
ENSMUSG00000023830,ENSG00000103365
ENSMUSG00000004446,ENSG00000171552
ENSMUSG00000057329,ENSMUSG00000004446
ENSMUSG00000031077,ENSG00000102871
ENSMUSG00000027381,ENSG00000125971
ENSG00000171552,ENSMUSG00000027381
ENSMUSG00000027381,ENSG00000171791
ENSMUSG00000027381,ENSG00000129473
ENSMUSG00000043811,ENSMUSG00000036634
ENSMUSG00000027223,ENSG00000142192
ENSMUSG00000022892,ENSMUSG00000027223
ENSG00000204209,ENSMUSG00000024778
ENSMUSG00000002307,ENSMUSG00000024778
ENSMUSG00000002307,ENSG00000163513
ENSG00000104067,ENSMUSG00000034520
ENSMUSG00000101355,ENSMUSG00000018666
ENSMUSG00000101972,ENSMUSG00000018666
ENSMUSG00000069265,ENSMUSG00000018666
ENSMUSG00000099517,ENSMUSG00000018666
ENSMUSG00000021944,ENSG00000100393
ENSG00000145911,ENSMUSG00000032216
ENSMUSG00000032216,ENSG00000102921
ENSMUSG00000026126,ENSMUSG00000032312
ENSG00000124762,ENSMUSG00000014402
ENSMUSG00000001333,ENSMUSG00000026208
ENSG00000213672,ENSMUSG00000022021
ENSG00000150760,ENSMUSG00000041112
ENSMUSG00000031490,ENSG00000198793
ENSMUSG00000031490,ENSG00000108443
ENSMUSG00000074657,ENSMUSG00000005886
ENSMUSG00000005886,ENSMUSG00000006740
ENSMUSG00000005886,ENSMUSG00000026764
ENSMUSG00000043811,ENSMUSG00000020458
ENSMUSG00000004446,ENSG00000030110
ENSMUSG00000054452,ENSMUSG00000066551
ENSMUSG00000066551,ENSMUSG00000031393
ENSMUSG00000066551,ENSMUSG00000008305
ENSMUSG00000059552,ENSMUSG00000066551
ENSMUSG00000002983,ENSMUSG00000066551
ENSMUSG00000022105,ENSMUSG00000066551
ENSMUSG00000066551,ENSG00000165119
ENSMUSG00000066551,ENSMUSG00000044786
ENSMUSG00000000275,ENSMUSG00000047281
ENSMUSG00000000275,ENSG00000156587
ENSMUSG00000010517,ENSMUSG00000024778
ENSMUSG00000010592,ENSG00000112081
ENSMUSG00000010592,ENSG00000111786
ENSMUSG00000032598,ENSG00000177885
ENSMUSG00000032598,ENSG00000106299
ENSMUSG00000071714,ENSG00000160691
ENSMUSG00000018841,ENSG00000196584
ENSMUSG00000022285,ENSMUSG00000048416
ENSMUSG00000048416,ENSMUSG00000020483
ENSMUSG00000070319,ENSMUSG00000048416
ENSMUSG00000048416,ENSMUSG00000014226
ENSMUSG00000026234,ENSMUSG00000048416
ENSMUSG00000048416,ENSMUSG00000029148
ENSMUSG00000029148,ENSMUSG00000029148
ENSG00000178053,ENSMUSG00000029148
ENSMUSG00000076432,ENSMUSG00000024959
ENSMUSG00000022892,ENSMUSG00000037032
ENSMUSG00000022892,ENSG00000166313
ENSMUSG00000022892,ENSG00000034053
ENSMUSG00000022892,ENSG00000121653
ENSMUSG00000022892,ENSMUSG00000029207
ENSMUSG00000022892,ENSMUSG00000117679
ENSMUSG00000028519,ENSMUSG00000022892
ENSMUSG00000022892,ENSMUSG00000030519
ENSG00000107643,ENSMUSG00000027223
ENSMUSG00000022892,ENSMUSG00000021224
ENSMUSG00000041120,ENSMUSG00000022892
ENSMUSG00000000359,ENSMUSG00000022285
ENSMUSG00000022176,ENSMUSG00000022285
ENSMUSG00000022436,ENSMUSG00000026842
ENSMUSG00000034120,ENSG00000089280
ENSMUSG00000041444,ENSG00000145864
ENSMUSG00000018736,ENSMUSG00000020849
ENSMUSG00000018736,ENSMUSG00000020745
ENSMUSG00000018736,ENSMUSG00000018326
ENSMUSG00000018736,ENSMUSG00000051391
ENSMUSG00000018736,ENSMUSG00000076432
ENSMUSG00000018736,ENSMUSG00000022285
ENSMUSG00000052557,ENSMUSG00000052727
ENSG00000081237,ENSMUSG00000000409
ENSMUSG00000074006,ENSMUSG00000050071
ENSMUSG00000074006,ENSMUSG00000042750
ENSMUSG00000000409,ENSMUSG00000023274
ENSMUSG00000000409,ENSMUSG00000053977
ENSMUSG00000000409,ENSMUSG00000028071
ENSMUSG00000000409,ENSG00000027869
ENSMUSG00000026395,ENSMUSG00000000409
ENSMUSG00000021662,ENSMUSG00000018965
ENSMUSG00000021662,ENSMUSG00000020849
ENSMUSG00000021662,ENSMUSG00000022285
ENSMUSG00000033788,ENSMUSG00000032231
ENSMUSG00000033788,ENSMUSG00000024659
ENSMUSG00000019790,ENSMUSG00000030805
ENSMUSG00000019790,ENSMUSG00000027287
ENSMUSG00000020849,ENSG00000090060
ENSMUSG00000005268,ENSG00000164924
ENSMUSG00000042870,ENSMUSG00000025139
ENSG00000170315,ENSMUSG00000042870
ENSMUSG00000042870,ENSG00000105290
ENSG00000169016,ENSMUSG00000024325
ENSMUSG00000021709,ENSMUSG00000032402
ENSMUSG00000029071,ENSG00000166949
ENSMUSG00000021709,ENSMUSG00000024563
ENSMUSG00000031681,ENSMUSG00000021675
ENSMUSG00000021709,ENSMUSG00000031681
ENSMUSG00000029071,ENSMUSG00000031681
ENSMUSG00000021675,ENSMUSG00000024563
ENSMUSG00000029071,ENSMUSG00000024563
ENSMUSG00000021675,ENSMUSG00000024515
ENSMUSG00000021709,ENSMUSG00000024515
ENSMUSG00000029071,ENSMUSG00000025880
ENSMUSG00000029071,ENSMUSG00000024515
ENSMUSG00000021675,ENSMUSG00000025880
ENSMUSG00000021709,ENSMUSG00000025880
ENSMUSG00000021709,ENSG00000166949
ENSMUSG00000021675,ENSG00000166949
ENSMUSG00000031955,ENSMUSG00000022607
