,s1,s2,s3,s4,s5,s6
wk0,0.0015443374859058757,0.0016912704445175633,0.002553490213743819,0.0022006182783762063,0.0014523860060970603,0.0010184675370259236
wk1,0.0016680495242762674,0.0015499235453987938,0.002053922143653616,0.0019253085882056206,0.0006979919841906581,0.001448221875307933
wk2,0.00375123710878097,0.003281726615089686,0.005120441847165158,0.003750159976428407,0.0006831074058557394,0.005694703751440954
wk3,0.0023247243382125684,0.0030333582706510783,0.002868106568807978,0.003587150939613371,0.0017261834388025926,0.0023599865880060533
wk4,0.0017148831208161283,0.00167177716070871,0.0027914519322920577,0.005007945545969922,0.0008987811598935343,0.002630713753369653
wk5,0.002752800093902834,0.0035012475218382925,0.006026866025024071,0.007872754801266705,0.0009779329183223346,0.005300941780793602
wk6,0.002405684403103712,0.002426869755457337,0.00603673751226007,0.006838228433198991,0.0010075856532193099,0.002952307825043287
wk7,0.0022152148639401036,0.0038611464409947635,0.004719236927400619,0.006008435079647562,0.0012805831241175087,0.0023775739531691964
wk8,0.0027683551571222923,0.0030187127554862823,0.00458080801428625,,0.001101876497592585,0.0036510741519620894
wk9,0.003122544174489119,0.0032100192086810812,0.006294103441082431,,0.0015081665921205063,0.0031729480030565863
wk10,0.004617728442929339,0.0036695170484347143,0.008143228254252082,,0.0011889861370611326,0.00467467118569972
wk11,0.004892305574166526,0.00917229664074365,0.009647242390110729,,0.0025181867767378454,0.011355649961938922
wk12,0.006853338058397085,0.006571343904393422,,,0.0017658667218530919,0.008469211338304364
wk13,0.005662087007528398,0.008130838014490294,,,0.0030504715853558193,0.012459231353200836
wk14,0.00846301348222183,0.00422545817682129,,,0.009084812431790708,0.008945874630725987
wk15,0.005464190550003987,0.006507679485734405,,,0.007731303463778248,0.01098221952596805
wk16,0.0050312444965072535,0.0068360379335493235,,,0.00424814363828479,0.011715136827575419
wk17,0.004157122706768688,0.004108786995041704,,,0.0018722446225574966,
wk18,0.00323669451473219,0.00367177633768749,,,0.0027921695164645627,
